               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.037553,            0.014557,            0.014063,             0.84435,              0.8087,             0.84941,             0.54624,            0.032555,           0.0063805,            0.016266,            0.006436,            0.006436,            0.006436
                  38,             0.03757,            0.014701,            0.013898,             0.85691,             0.82728,             0.86912,              0.5572,            0.031877,           0.0063413,              0.0146,            0.006337,            0.006337,            0.006337
                  39,            0.037057,             0.01417,            0.013194,             0.85103,             0.84532,             0.87564,             0.57033,            0.032567,           0.0062273,            0.013782,            0.006238,            0.006238,            0.006238
                  40,            0.036711,            0.014106,            0.013361,             0.89494,             0.82595,             0.88098,             0.56097,            0.032372,           0.0062766,            0.014135,            0.006139,            0.006139,            0.006139
                  41,              0.0361,            0.014349,            0.013248,             0.88337,             0.81518,             0.87453,             0.56772,             0.03129,           0.0062544,            0.013562,             0.00604,             0.00604,             0.00604
                  42,            0.036035,            0.014235,            0.013061,             0.87095,             0.80737,             0.87223,             0.57428,            0.032276,           0.0061917,            0.015187,            0.005941,            0.005941,            0.005941
                  43,            0.035777,            0.014107,            0.012846,             0.88058,             0.80192,             0.86862,             0.56255,            0.032183,           0.0062761,            0.014523,            0.005842,            0.005842,            0.005842
                  44,            0.035204,             0.01427,             0.01259,             0.89323,             0.83601,             0.88524,             0.58452,            0.030675,           0.0062284,            0.013077,            0.005743,            0.005743,            0.005743
                  45,            0.035459,            0.013892,            0.011837,             0.89026,             0.83206,             0.88397,             0.58824,            0.031514,           0.0062223,            0.014326,            0.005644,            0.005644,            0.005644
                  46,            0.035307,            0.014005,            0.011584,             0.88112,              0.8342,             0.87804,             0.57262,            0.031522,           0.0061761,            0.013532,            0.005545,            0.005545,            0.005545
                  47,            0.034216,            0.013768,             0.01121,             0.88873,             0.82163,             0.87553,             0.57917,            0.031647,           0.0061846,            0.015011,            0.005446,            0.005446,            0.005446
                  48,            0.034698,            0.013982,             0.01142,             0.87905,             0.83193,             0.87496,             0.59128,            0.030757,           0.0061926,            0.014033,            0.005347,            0.005347,            0.005347
                  49,            0.034175,            0.014059,            0.011066,             0.91154,             0.83483,             0.88589,             0.59582,            0.030579,           0.0061382,            0.013557,            0.005248,            0.005248,            0.005248
                  50,            0.033994,            0.013834,            0.010418,              0.8839,             0.83916,             0.88137,             0.58892,            0.031598,           0.0061619,            0.013605,            0.005149,            0.005149,            0.005149
                  51,            0.033959,            0.013768,            0.010108,             0.87063,             0.84876,             0.88149,             0.59691,            0.029828,            0.006183,             0.01454,             0.00505,             0.00505,             0.00505
                  52,            0.034249,            0.013696,            0.010167,             0.89073,             0.85406,             0.88479,             0.60297,            0.030087,           0.0061363,            0.013684,            0.004951,            0.004951,            0.004951
                  53,            0.033615,            0.013226,            0.010105,             0.91717,             0.82603,             0.88904,             0.59924,            0.030696,           0.0061646,            0.013112,            0.004852,            0.004852,            0.004852
                  54,            0.033345,            0.013423,            0.010323,             0.86308,             0.84752,             0.87714,             0.59653,            0.029952,           0.0060981,            0.013863,            0.004753,            0.004753,            0.004753
